trait.name,T,trait,ref,trait2,trait2.name
c,18,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.86,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,30,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.92,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.69,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,0.3,Lambrects_et_al_2011_PNAS,NA,NA
c,28,0.52,Lambrects_et_al_2011_PNAS,NA,NA
c,30,0.93,Lambrects_et_al_2011_PNAS,NA,NA
c,28,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,14,0.12,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.45,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.81,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.85,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.25,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.44,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.1,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.51,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,27,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.93,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,10,0,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.17,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.7,Lambrects_et_al_2011_PNAS,NA,NA
b,25,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.8,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.97,Lambrects_et_al_2011_PNAS,NA,NA
