,trait.name,T,trait,ref,trait2,trait2.name
1,MDR,37,0.130508475,Witwatana_Kittayaong_2006_Med&VetEnt,NA,NA
1,MDR,20,0.063694268,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,25,0.101626016,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,30,0.121506683,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,20,0.064102564,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,25,0.035335689,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,30,0.063291139,Muturi_et_al_2011_JMedEnto,NA,NA
1,MDR,22,0.075543232,Westbrook_Thesis_2010,NA,NA
1,MDR,27,0.10843753,Westbrook_Thesis_2010,NA,NA
1,MDR,32,0.121396268,Westbrook_Thesis_2010,NA,NA
1,MDR,22,0.091743119,Westbrook_Thesis_2010,NA,NA
1,MDR,27,0.135869565,Westbrook_Thesis_2010,NA,NA
1,MDR,32,0.158227848,Westbrook_Thesis_2010,NA,NA
1,MDR,12,0.01818,Briegel_etal_2001_JMedEnto,NA,NA
1,MDR,17,0.02941,Briegel_etal_2001_JMedEnto,NA,NA
1,MDR,27,0.07143,Briegel_etal_2001_JMedEnto,NA,NA
1,MDR,32,0.03125,Briegel_etal_2001_JMedEnto,NA,NA
1,b,18,0.523402938,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,b,24,0.367678287,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,b,32,0.195509644,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,c,18,0.370584268,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,c,24,0.274922311,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,c,32,0.278106346,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
1,c,22,0.643683282,Westbrook_Thesis_2010,NA,NA
1,c,27,0.781785426,Westbrook_Thesis_2010,NA,NA
1,c,32,0.75627037,Westbrook_Thesis_2010,NA,NA
1,TFD,15,20,Delatte_etal_2009_JMedEnto,NA,R1
1,TFD,20,42.63636364,Delatte_etal_2009_JMedEnto,NA,R1
1,TFD,20,51.8,Delatte_etal_2009_JMedEnto,NA,R2
1,TFD,20,80,Delatte_etal_2009_JMedEnto,NA,R3
1,TFD,20,77,Delatte_etal_2009_JMedEnto,NA,R4
1,TFD,25,68.61538462,Delatte_etal_2009_JMedEnto,NA,R1
1,TFD,25,70.85714286,Delatte_etal_2009_JMedEnto,NA,R2
1,TFD,25,74.30769231,Delatte_etal_2009_JMedEnto,NA,R3
1,TFD,25,53.66666667,Delatte_etal_2009_JMedEnto,NA,R4
1,TFD,25,39.66666667,Delatte_etal_2009_JMedEnto,NA,R5
1,TFD,25,101.5,Delatte_etal_2009_JMedEnto,NA,R6
1,TFD,25,35,Delatte_etal_2009_JMedEnto,NA,R7
1,TFD,25,18,Delatte_etal_2009_JMedEnto,NA,R8
1,TFD,30,77.19047619,Delatte_etal_2009_JMedEnto,NA,R1
1,TFD,30,98.68421053,Delatte_etal_2009_JMedEnto,NA,R2
1,TFD,30,60.3125,Delatte_etal_2009_JMedEnto,NA,R3
1,TFD,30,67.90909091,Delatte_etal_2009_JMedEnto,NA,R4
1,TFD,30,67.66666667,Delatte_etal_2009_JMedEnto,NA,R5
1,TFD,30,41.75,Delatte_etal_2009_JMedEnto,NA,R6
1,TFD,30,14.5,Delatte_etal_2009_JMedEnto,NA,R7
1,TFD,35,47.93333333,Delatte_etal_2009_JMedEnto,NA,R1
1,TFD,35,51.5,Delatte_etal_2009_JMedEnto,NA,R2
1,GCD,20,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,14,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,11,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,8,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,18,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,10,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,11,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,20,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,15,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,8,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,8,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,8,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,30,1,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,13,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,7,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,2,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,6,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,10,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
1,GCD,35,4,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.032876712,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.027952481,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.029813665,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.032476319,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.028985507,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.03033367,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.033333333,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,15,0.029739777,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.104347826,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.082379863,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.089241448,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.092273892,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.071319409,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.071784646,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.106904232,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,20,0.082987552,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.144578313,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.145228216,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.131004367,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.176322418,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.122511485,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.108583247,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.128824477,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,25,0.105527638,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.211764706,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.199445983,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.162162162,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.171428571,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.154340836,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.115226337,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.147239264,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,30,0.151679307,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,35,0.190800681,Delatte_etal_2009_JMedEnto,NA,NA
1,MDR,35,0.181818182,Delatte_etal_2009_JMedEnto,NA,NA
1,p.succ,22,199,Alto_et_al_2001a_JMedEnto,297,p.nobs
1,p.succ,22,196,Alto_et_al_2001a_JMedEnto,307,p.nobs
1,p.succ,22,154,Alto_et_al_2001a_JMedEnto,243,p.nobs
1,p.succ,26,158,Alto_et_al_2001a_JMedEnto,336,p.nobs
1,p.succ,26,184,Alto_et_al_2001a_JMedEnto,372,p.nobs
1,p.succ,26,141,Alto_et_al_2001a_JMedEnto,329,p.nobs
1,p.succ,30,94,Alto_et_al_2001a_JMedEnto,287,p.nobs
1,p.succ,30,87,Alto_et_al_2001a_JMedEnto,355,p.nobs
1,p.succ,30,99,Alto_et_al_2001a_JMedEnto,340,p.nobs
1,c,15,0.68,Lambrects_et_al_2011_PNAS,NA,NA
1,c,18,0.57,Lambrects_et_al_2011_PNAS,NA,NA
1,c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
1,c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,15,0.73,Lambrects_et_al_2011_PNAS,NA,NA
1,c,18,0.73,Lambrects_et_al_2011_PNAS,NA,NA
1,c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
1,c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,20,0.96,Lambrects_et_al_2011_PNAS,NA,NA
1,c,27,0.97,Lambrects_et_al_2011_PNAS,NA,NA
1,c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,10,0.08,Lambrects_et_al_2011_PNAS,NA,NA
1,c,15,0.6,Lambrects_et_al_2011_PNAS,NA,NA
1,c,20,0.72,Lambrects_et_al_2011_PNAS,NA,NA
1,c,25,0.68,Lambrects_et_al_2011_PNAS,NA,NA
1,c,30,0.72,Lambrects_et_al_2011_PNAS,NA,NA
1,c,18,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,0.96,Lambrects_et_al_2011_PNAS,NA,NA
1,c,18,0.86,Lambrects_et_al_2011_PNAS,NA,NA
1,c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,30,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,0.92,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,0.69,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,25,0.3,Lambrects_et_al_2011_PNAS,NA,NA
1,c,28,0.52,Lambrects_et_al_2011_PNAS,NA,NA
1,c,30,0.93,Lambrects_et_al_2011_PNAS,NA,NA
1,c,28,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,25,1,Lambrects_et_al_2011_PNAS,NA,NA
1,c,27,0.96,Lambrects_et_al_2011_PNAS,NA,NA
1,c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
1,b,14,0.12,Lambrects_et_al_2011_PNAS,NA,NA
1,b,18,0.45,Lambrects_et_al_2011_PNAS,NA,NA
1,b,22,0.81,Lambrects_et_al_2011_PNAS,NA,NA
1,b,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
1,b,30,0.85,Lambrects_et_al_2011_PNAS,NA,NA
1,b,15,0.05,Lambrects_et_al_2011_PNAS,NA,NA
1,b,18,0.05,Lambrects_et_al_2011_PNAS,NA,NA
1,b,22,0.25,Lambrects_et_al_2011_PNAS,NA,NA
1,b,32,0.44,Lambrects_et_al_2011_PNAS,NA,NA
1,b,15,0,Lambrects_et_al_2011_PNAS,NA,NA
1,b,18,0.1,Lambrects_et_al_2011_PNAS,NA,NA
1,b,22,0.51,Lambrects_et_al_2011_PNAS,NA,NA
1,b,32,0.48,Lambrects_et_al_2011_PNAS,NA,NA
1,b,20,0.83,Lambrects_et_al_2011_PNAS,NA,NA
1,b,27,0.83,Lambrects_et_al_2011_PNAS,NA,NA
1,b,20,0.9,Lambrects_et_al_2011_PNAS,NA,NA
1,b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
1,b,20,0.93,Lambrects_et_al_2011_PNAS,NA,NA
1,b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
1,b,10,0,Lambrects_et_al_2011_PNAS,NA,NA
1,b,15,0.17,Lambrects_et_al_2011_PNAS,NA,NA
1,b,20,0.7,Lambrects_et_al_2011_PNAS,NA,NA
1,b,25,0.9,Lambrects_et_al_2011_PNAS,NA,NA
1,b,30,0.8,Lambrects_et_al_2011_PNAS,NA,NA
1,b,18,0.48,Lambrects_et_al_2011_PNAS,NA,NA
1,b,26,0.97,Lambrects_et_al_2011_PNAS,NA,NA
